game_id,season,week,season_type,away_team,home_team,old_game_rating,new_game_rating,rating_delta,old_win_chances_max_diff,old_win_prob_shifts,pbp_status,pbp_raw_rows,pbp_plays,pbp_discarded_rows,pbp_periods,pbp_home_score,pbp_away_score,pregame_home_wp,game_spread,new_win_chances_max_diff,new_win_prob_shifts
401864571,2026,2,regular,App State,East Carolina,7.1,7.06,-0.04,0.654,26.16,complete,203,188,15,4.0,24.0,27.0,0.6388142108917236,6.5,0.8416365385055542,20.66810891404748
401864575,2026,2,regular,South Alabama,Tulane,6.68,,,0.512,20.48,source_not_completed,72,69,3,2.0,7.0,10.0,,,,
401864578,2026,2,regular,New Mexico State,Hawai'i,6.04,5.36,-0.68,0.604,24.16,complete,188,167,21,4.0,29.0,19.0,0.7198894023895264,7.5,0.35924577713012695,14.404747545719147
401865252,2026,2,regular,Mercyhurst,New Mexico,1.19,1.49,0.3,0.004,0.16,complete,166,162,4,4.0,70.0,7.0,0.9503301382064819,42.5,0.049630582332611084,1.061302661895752
401866412,2026,2,regular,Robert Morris,Akron,1.71,,,0.0680000000000001,2.72,source_not_completed,27,27,0,1.0,7.0,0.0,,,,
401866413,2026,2,regular,Stony Brook,Ball State,4.14,,,0.352,14.08,source_not_completed,104,98,6,3.0,21.0,3.0,,,,
401866414,2026,2,regular,Buffalo,Florida International,5.67,,,0.534,21.36,source_not_completed,116,110,6,3.0,27.0,14.0,,,,
401866415,2026,2,regular,Colgate,Central Michigan,4.93,,,0.202,8.08,source_not_completed,167,148,19,4.0,13.0,10.0,,,,
401866416,2026,2,regular,Wofford,Kent State,4.7,4.71,0.01,0.448,17.92,complete,165,163,2,4.0,36.0,15.0,0.7371281981468201,10.0,0.5383386313915253,16.278660356998444
401866417,2026,2,regular,Holy Cross,Miami (OH),1.06,0.82,-0.24,0.036,1.44,complete,127,123,4,4.0,45.0,7.0,0.9781081676483154,30.5,0.023584723472595215,0.40704452991485596
401866418,2026,2,regular,Jacksonville State,Ohio,8.13,,,0.89,35.6,source_not_completed,103,95,8,3.0,14.0,24.0,,,,
401866419,2026,2,regular,Central Connecticut,Toledo,1.2,,,0.012,0.48,source_not_completed,32,32,0,1.0,7.0,3.0,,,,
401866420,2026,2,regular,Sacred Heart,Massachusetts,2.51,,,0.106,4.24,source_not_completed,33,31,2,1.0,14.0,0.0,,,,
401866421,2026,2,regular,Monmouth,Western Michigan,1.84,,,0.05,2.0,source_not_completed,97,95,2,2.0,21.0,0.0,,,,
401867796,2026,2,regular,Louisiana Tech,LSU,1.91,,,0.016,0.640000000000001,source_not_completed,45,45,0,2.0,10.0,0.0,,,,
401867929,2026,2,regular,Wagner,James Madison,1.31,1.43,0.12,0.002,0.0800000000000001,complete,178,172,6,4.0,87.0,3.0,0.9781081676483154,46.5,0.02185988426208496,0.26847898960113525
401868008,2026,2,regular,Fordham,Coastal Carolina,0.92,,,0.01,0.4,source_not_completed,37,36,1,2.0,7.0,7.0,,,,
401868187,2026,2,regular,Gardner-Webb,Liberty,5.18,6.9,1.72,0.05,2.0,complete,198,174,24,4.0,24.0,23.0,0.9813097715377808,28.5,0.6174613833427429,18.79518949985504
401868241,2026,2,regular,West Georgia,Arkansas State,1.07,,,0.03,1.2,source_not_completed,75,67,8,2.0,21.0,0.0,,,,
401868326,2026,2,regular,Alabama State,Troy,3.62,3.4,-0.22,0.0980000000000001,3.92,complete,179,151,28,4.0,34.0,17.0,0.9513352513313293,23.5,0.1018403172492981,1.9797623753547668
401869955,2026,2,regular,Georgia State,Kennesaw State,5.62,,,0.604,24.16,source_not_completed,73,72,1,2.0,3.0,14.0,,,,
401871045,2026,2,regular,Middle Tennessee,Marshall,6.47,,,0.37,14.8,source_not_completed,74,67,7,2.0,14.0,13.0,,,,
401871046,2026,2,regular,Lindenwood,Missouri State,2.8,,,0.242,9.68,source_not_completed,70,70,0,2.0,27.0,0.0,,,,
401856634,2026,1,regular,East Carolina,Alabama,1.34,1.21,-0.13,0.054,2.16,complete,161,161,0,4.0,48.0,10.0,0.9599751234054565,28.5,0.04781621694564819,1.3823018670082092
401856635,2026,1,regular,North Alabama,Arkansas,2.82,3.13,0.31,0.00600000000000001,0.24,complete,178,160,18,4.0,31.0,14.0,0.9503301382064819,40.5,0.04929274320602417,1.3615394234657288
401856636,2026,1,regular,Baylor,Auburn,6.87,,,0.654,26.16,source_not_completed,22,22,0,1.0,0.0,0.0,,,,
401856637,2026,1,regular,Florida Atlantic,Florida,2.02,,,0.0680000000000001,2.72,source_not_completed,25,25,0,1.0,7.0,0.0,,,,
401856658,2026,1,regular,Tennessee State,Georgia,0.83,,,0.0,0.0,source_not_completed,52,51,1,2.0,35.0,0.0,,,,
401856659,2026,1,regular,Youngstown State,Kentucky,2.45,,,0.13,5.2,source_not_completed,146,143,3,4.0,45.0,13.0,,,,
401856660,2026,1,regular,Clemson,LSU,3.01,1.82,-1.19,0.49,19.6,complete,183,173,10,4.0,51.0,10.0,0.7603206634521484,10.0,0.3093438148498535,3.5605470538139343
401856661,2026,1,regular,Louisville,Ole Miss,7.88,7.65,-0.23,0.654,26.16,complete,199,183,16,4.0,41.0,38.0,0.6388142108917236,6.5,0.548963725566864,23.246091187000275
401856662,2026,1,regular,UL Monroe,Mississippi State,1.66,,,0.05,2.0,source_not_completed,47,46,1,1.0,21.0,0.0,,,,
401856663,2026,1,regular,Arkansas-Pine Bluff,Missouri,0.85,1.16,0.31,0.0,0.0,complete,170,161,9,4.0,54.0,14.0,0.9503301382064819,55.5,0.04964399337768555,0.4471248984336853
401856664,2026,1,regular,UTEP,Oklahoma,0.57,0.67,0.1,0.004,0.16,complete,154,142,12,4.0,51.0,0.0,0.9597121477127075,40.5,0.04025226831436157,0.3109859824180603
401856665,2026,1,regular,Kent State,South Carolina,0.97,1.06,0.09,0.012,0.48,complete,163,148,15,4.0,57.0,0.0,0.9781081676483154,35.5,0.038349449634552,0.7320848703384399
401856666,2026,1,regular,Furman,Tennessee,0.89,,,0.0,0.0,source_not_completed,36,32,4,1.0,7.0,0.0,,,,
401856667,2026,1,regular,Texas State,Texas,1.42,,,0.042,1.68,source_not_completed,29,29,0,1.0,14.0,0.0,,,,
401856668,2026,1,regular,Missouri State,Texas A&M,0.56,,,0.00600000000000001,0.24,source_not_completed,64,63,1,2.0,9.0,0.0,,,,
401856669,2026,1,regular,Austin Peay,Vanderbilt,2.86,,,0.046,1.84,source_not_completed,70,67,3,2.0,15.0,9.0,,,,
401856766,2026,1,regular,North Carolina,TCU,5.9,5.94,0.04,0.604,24.16,complete,162,150,12,4.0,10.0,15.0,0.7170184254646301,7.5,0.8218099474906921,20.09156173467636
401856767,2026,1,regular,Bethune-Cookman,UCF,1.19,1.26,0.07,0.002,0.0800000000000001,complete,170,162,8,4.0,73.0,6.0,0.9781081676483154,43.5,0.021897733211517334,0.176857590675354
401856768,2026,1,regular,Idaho,Utah,1.36,1.4,0.04,0.01,0.4,complete,170,163,7,4.0,66.0,14.0,0.9781081676483154,38.5,0.021850407123565674,0.4924129247665405
401856769,2026,1,regular,Long Island University,Kansas,0.78,0.94,0.16,0.004,0.16,complete,168,158,10,4.0,51.0,6.0,0.9781081676483154,44.5,0.021853923797607422,0.563581109046936
401856770,2026,1,regular,Abilene Christian,Texas Tech,2.06,,,0.002,0.0800000000000001,source_not_completed,65,62,3,2.0,14.0,0.0,,,,
401856771,2026,1,regular,Nicholls,Kansas State,1.08,,,0.004,0.16,source_not_completed,73,72,1,2.0,29.0,3.0,,,,
401856772,2026,1,regular,Oklahoma State,Tulsa,4.64,,,0.37,14.8,source_not_completed,12,11,1,1.0,0.0,0.0,,,,
401856773,2026,1,regular,Northern Arizona,Arizona,1.98,1.9,-0.08,0.03,1.2,complete,155,151,4,4.0,35.0,7.0,0.9503301382064819,33.5,0.049594879150390625,0.7091448307037354
401856774,2026,1,regular,Morgan State,Arizona State,1.19,1.27,0.08,0.002,0.0800000000000001,complete,152,146,6,4.0,70.0,7.0,0.9781081676483154,43.5,0.021853625774383545,0.2054898738861084
401856775,2026,1,regular,Utah Tech,BYU,0.92,,,0.0,0.0,source_not_completed,16,15,1,1.0,7.0,0.0,,,,
401856776,2026,1,regular,Colorado,Georgia Tech,6.61,6.46,-0.15,0.654,26.16,complete,170,160,10,4.0,13.0,14.0,0.6868661642074585,6.5,0.6205525398254395,23.435481667518616
401856777,2026,1,regular,Boston College,Cincinnati,4.96,,,0.63,25.2,source_not_completed,15,14,1,1.0,3.0,0.0,,,,
401856778,2026,1,regular,Oregon State,Houston,4.55,,,0.158,6.32,source_not_completed,179,170,9,4.0,33.0,20.0,,,,
401856779,2026,1,regular,Southeast Missouri State,Iowa State,2.05,,,0.042,1.68,source_not_completed,121,109,12,3.0,28.0,7.0,,,,
401856780,2026,1,regular,Coastal Carolina,West Virginia,5.13,4.64,-0.49,0.148,5.92,complete,188,176,12,4.0,31.0,24.0,0.9118125438690186,21.0,0.08717256784439087,1.8709102869033813
